Timestamp,Email Address,"I agree to answer each question honestly, based on my own thoughts, feelings, and beliefs.","I understand that I will not be judged for my responses, and that the data will be used for research purposes only.",I understand that the researcher will take percussions and follow measures to anonymize the data and responses.,I am . . .,I am ____ years old,Are you a human?,A human is . . .,A cyborg is . . .,A robot is . . .,"When I hear ""human"", I think of . . .","When I hear ""cyborg"", I think of . . .","When I hear ""robot"", I think of . . .",Should a human be friends with a robot or cyborg? [Cyborg],Should a human be friends with a robot or cyborg? [Robot],Should a human be able to own a robot or cyborg? [Cyborg],Should a human be able to own a robot or cyborg? [Robot],Should a human be allowed to become a robot or cyborg? [Cyborg],Should a human be allowed to become a robot or cyborg? [Robot],Should robots or cyborgs have rights? [Cyborg],Should robots or cyborgs have rights? [Robot],What percent robot or mechanical would make human a cyborg?,What percent robot or mechanical would make a human a robot?,Would you befriend a robot or cyborg? [Cyborg],Would you befriend a robot or cyborg? [Robot],Would you own a robot or cyborg? [Cyborg],Would you own a robot or cyborg? [Robot],Would you support rights for robots or cyborgs? [Cyborg],Would you support rights for robots or cyborgs? [Robot],Would become a robot or cyborg? [Cyborg],Would become a robot or cyborg? [Robot],Do you need a physical body to be human?,The woman is . . .,The removal of the brain implant is . . .,The dancer is . . .,Banning the dancer is . . .,A.D. is . . .,The destruction of A.D. is . . .,This destruction of the brain upload is . . .,Did your sentiments change during this survey?,"Do you have any comments or additional thoughts?
Anything you would like to say or add?",Would you like to answer a one more question?,"What is your nationality?

Please answer with the nation name. For example: The United States, Mexico, Italy, Japan.
Enter your answer in the "" Other... "" option."
7/18/2023 14:23,,Yes,Yes,Yes,Non-binary,18 to 22,Yes,"Homo sapiens, a living being. ",A robot that has elements of something alive; not fully a machine.,"A machine, with no aspects of something alive.","Emotions, feelings, brain, heart, love","Mixed, machine, alive","Machine, mechanized, inorganic, programmed",Yes,Yes,No,Yes,Yes,No,Yes,No,9,10,Yes,No,No,No,Yes,No,No,No,No,A cyborg,"Unethical, Reasonable",A human,"Unethical, Unreasonable",A cyborg,Unethical,Unethical,Somewhat,,Yes,The United States
7/18/2023 14:47,,Yes,Yes,Yes,Female,23 to 27,Yes,A human is a being on the earth made of flesh  spirit and has senses to experience the world,A human being with robotic attributes ,A mechanical being made from humans and Artificial intelligence ,nature,"half human,half robot, disorder","technology, fear,  not human",No,No,No,No,No,No,No,No,3,3,No,No,No,No,No,No,No,No,Yes,A human,Unethical,Other,Unreasonable,Other,Reasonable,Unethical,Minimally,"This topic was very eye-opening and paradigm-shifting I think it's important to talk about these things and gain more awareness of how we as people would feel about cyborgs and robots so we can be included in the decisions being made in how they exist in our daily lives if they were to.
I feel we could live harmoniously if we could trust tech and the intentions behind what's being created would be considering the wellbeing of everyone including our planet but that's not the case since we must use tech in moderation and with great caution. including taking our time when things are being developed to make sure they are absolutely safe and secure before bringing them into society
I also feel things can get complicated when we start talking about rights lol 
I hope this helps with your research findings! :) You Got This ✨",Yes,United States
7/18/2023 15:24,,Yes,Yes,Yes,Non-binary,18 to 22,Yes,a living organism that has the potential to grow in their own terms as well as have complex thoughts,the combination of a human person and pieces of computer parts ,a computer driven device,"dreams, thoughts, living, depression, terrible decisions sometimes, complex thoughts, malleable brain","zeno, science fiction, part human part robot, computer and human parts, usually with a human face and still maintains a human consciousness","computer, metal parts, completely man-made, at some point made by a human, does not have it's own consciousness",Yes,Yes,No,Yes,Yes,No,Yes,No,7,10,Yes,No,No,Yes,Yes,No,Yes,No,Yes,A cyborg,"Unethical, Unreasonable",A cyborg,"Unethical, Unreasonable",A cyborg,"Unethical, Reasonable","Unethical, Reasonable",Somewhat,"Having cyborg in the mix of everything is quite interesting since it's an interesting balance between what is considered a human or robot and made the scenarios really interesting to think about. It was hard to determine which aspects would be considered reasonable/unreasonable, ethical/unethical. ",Yes,United States 
7/18/2023 15:28,,Yes,Yes,Yes,Female,23 to 27,Yes,A living breathing person with their own thoughts and emotions ,A half human half robot ,"A fully automated machine created by humans, which is programmed to do what the human instructs it to do","Living, breathing, autonomous, ","Conflict, stuck in the middle, benefits of being human and robot ","Machine, remote controlled, capable of learning, incapable of autonomous thought ",Yes,No,No,Yes,Yes,No,No,No,5,10,Yes,No,No,No,Yes,No,No,No,Yes,A human,"Unethical, Unreasonable",A cyborg,Reasonable,A cyborg,"Unethical, Unreasonable","Unethical, Unreasonable",Somewhat,Nope!,Yes,The United States 
7/18/2023 16:14,,Yes,Yes,Yes,Female,23 to 27,Yes,Feelings ,Feelings and microchips ,Microchips ,Meat ,N.18,A Computer ,Yes,Yes,Yes,Yes,Yes,No,Yes,No,6,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,A cyborg,Reasonable,A cyborg,Unreasonable,A cyborg,Unreasonable,Reasonable,Minimally,It is a conflict already portrayed in certain movies where the human being clings to his humanity being hypocritical due to the need for technological advances that make his life lengthen even though he knows that death is part of being human.,Yes,Mexican 
7/18/2023 18:33,,Yes,Yes,Yes,Non-binary,23 to 27,Somewhat,"a being of my species. A kind of person. We have physical bodies and also immaterial pieces which some call a soul or a spirit, and others call consciousness. A lot of us are bipedal but not always the case. We are social beings.","part human, part more-than-human. A kind of person. Being a cyborg to me implies human PLUS. Human plus some kind of im/material technological augmentations. I believe cyborgs also have consciousness/soul/spirit/etc. ","a technological being that is not human but not necessarily NOT a person. Robots are not made through flesh and blood in the same way that humans and cyborgs are, but they do have the basis for consciousness, I think. ","person, society, consciousness, primate, mammal, flesh and bone, soul/spirit/consciuosness","person, society, consciousness, primate, mammal, flesh and bone, soul/spirit/consciuosness, PLUS techno augmentations at the micro or macro scales, including medical devices. Also, sci-fi, my daily life, disabled life, Janelle Monae, androids, ""more-than-human"" beings ","metallic, tech, non-human, but maybe person",Yes,Yes,No,Yes,Yes,No,Yes,Yes,1,10,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,A cyborg,Unethical,A human,"Unethical, Unreasonable",A robot,"Ethical, Reasonable","Ethical, Reasonable",Yes,,Yes,The United States
7/18/2023 20:23,,Yes,Yes,Yes,Female,23 to 27,Yes,"A living, breathing person with thoughts, feelings, beliefs of some sort. ",A human/robot hybrid,A computer that is programmed with a certain purpose. ,"A body with limbs and organs, feelings, emotions, different methods of communication, planet altering developments ",Computerized humans,"Computers, automized human tasks, programming",Yes,No,No,Yes,Yes,No,Yes,No,3,7,Yes,No,No,No,Yes,No,Yes,No,Yes,A human,Unethical,A cyborg,Reasonable,A robot,"Ethical, Reasonable","Ethical, Reasonable",Somewhat,,Yes,United States 
7/19/2023 10:40,,Yes,Yes,Yes,Female,23 to 27,Yes,a sentient being in blood and flesh.,"a human being with part or whole body parts replaced by electromechanical devices, but still has a human brain.",a machine that only contain electromechanical components and following the orders from the program or whoever's in control.,myself lol,The Terminator movie series,WALL.E,Yes,Yes,No,Yes,Yes,Yes,Yes,No,5,10,Yes,Yes,No,Yes,Yes,No,No,No,Yes,A human,"Unethical, Unreasonable",A human,"Unethical, Unreasonable",Other,"Ethical, Unreasonable","Unethical, Reasonable",Minimally,,Yes,China
7/19/2023 22:40,,Yes,Yes,Yes,"Female, Non-binary",23 to 27,Maybe,someone with a beating heart and..related to another human,a smart metal being,an obedient metal being ,"brain, reasoning, evolution","video games, made up, a bit human-like","AI, drones, sometimes scary",No,No,Yes,Yes,No,No,No,No,1,9,No,No,No,No,No,No,No,No,Yes,A human,Unethical,A cyborg,Unreasonable,A robot,Reasonable,Reasonable,Minimally,This was a bit hard but good to think about,Yes,U.S.
7/20/2023 12:02,,Yes,Yes,Yes,Female,23 to 27,Yes,"a living being with feelings, thoughts, and needs",a being that is half human and half cyborg,a synthetic being created by humans,"being, brain, skin, face, thoughts","comic books, movies, half, creature","clunky, metal, voicebox",Yes,No,No,Yes,Yes,No,Yes,No,5,10,Yes,No,No,No,Yes,No,No,No,No,A human,"Unethical, Unreasonable",A human,"Unethical, Unreasonable",A cyborg,Unethical,Unethical,Somewhat,It was hard to answer the ethical situations because I needed more information ,Yes,United States
